ID,Title,Affiliation,Ref,Website,website inactive,Notes
2327,Goldrock International,,15,,,
2328,Kenya Nut Ltd,,17,http://kenyanut.com/kenya_nut.swf,,
2329,Africoff Trading Co. Ltd,,19,africoff.co.ke,,
2330,Alcaffe Ltd.,,20,,,
2331,Rashid Moledina and Co. (Msa) Ltd,,21,,,
2332,Sangana Commodities Ltd,,24,http://www.ecomtrading.com/,,
2333,Ibero (K) Ltd,NEUMANN KAFFEE GRUPPE (NKG),39,http://www.iberokenya.com/aboutus,,
2334,Mombasa Coffee Ltd,,41,,,
2335,Servicoff Limited,,47,,,
2336,Shah Meghji Hirji Ltd,,50,,,
2337,Alanwood Ltd,,51,,,
2338,Diamond Coffee Co. Ltd,,52,,,
2339,Mumbi Coffee Ltd*1,,56,http://mumbicoffee.com/,,
2340,Merali Dewji and Sons (K) Ltd,,60,,,
2341,Sondhi Trading Limited,Mbaraki Port Warehouses (MPW),62,http://www.mbaraki.com/,VERY COOL WEBSITE,
2342,Panju,,63,,,
2343,Coffee Exporters ( Kenya ) Ltd,,64,,coffeeexportersltd.com,
2344,Josra Coffee Co. Ltd,,65,http://josracoffee.com/,,
2345,Rejitek Coffee Co.Ltd,,67,,rejitekcoffee.com,
2346,Betco Coffee Co. Ltd.,,68,,,
2347,Taylor Winch (Coffee) Ltd,,74,,taylorwinch.com,
2348,C. Dorman Ltd,,78,http://dormanscoffee.com/,,
2349,Nairobi Java House,,118,http://javahouseafrica.com/,,
2350,Star Coffee,,136,,,
2351,Jowam Coffee Traders Ltd,,149,jowamcoffee.com,doesn’t work,
2352,Kyandu Trading Company,,151,,kyandutrading.co.ke,
2353,Rockaffe' Limited,,152,,Rokaffee.com,
2354,Louis Dreyfus Commodities (K) Ltd,,160,http://www.ldcommodities.com/global/en/,,
2355,Peclex Enterprises,,163,,,
2356,Africa Tea and Coffee,,165,,,
2357,East Africa Gourmet,,172,,,
2358,tbc1,,173,,,
2359,Roise Vam Dyke Investment Ltd,,175,,,
2360,International,,182,,,
2361,Global Afrea Engineering Co. Ltd,,187,,,
2362,tbc2,,188,,,
2363,Super Gibs Ltd,,195,http://gibscoffee.com,,
2364,Premier Fortunes,,201,,,
2365,Rockbern Equatorial,,203,http://www.rockbern-coffee.com/,,
2366,Kenya Coop,,209,,,
2367,Kuttum Ltd,,212,,,
2368,Caffe Del Duca Ltd,,213,,,
2369,Prospects Int,,215,,,
2370,tbc3,,219,,,
2371,Kimani Coffee Experts,,221,,,
2372,Faina Enterprises Ltd,,224,,,
2373,Kenyacof,,226,,,
2374,tbc4,,230,,,
2375,Gilmart Limited,,231,,,
2376,BTG Pactual,,232,,,
2377,Export Trading,,233,,,
2378,Exotic Coffee,,234,,,
2379,Africa Gold,,235,http://www.africangoldcoffee.co.ke/about-us/,,
2380,Orion East Africa,,236,http://orioneastafrica.co.ke/,,
2381,Engelhart Co,,237,,,
2382,Mumbi Coffee Ltd*2,,238,http://mumbicoffee.com/,,
2383,Eagle Crown,,239,,,
2384,E - Logistics,,240,,,
2385,Sasini (K) Ltd,,242,http://sasini.co.ke/,,
2487,Bekas System,,183,,,
2488,Global Fruits,,228,,,
