ID,Title,Affiliation,Actor,Ref,Ref2,County_Ref,Latitude,Longitude,Notes,Disambiguation,ShortName,Website,website inactive
1,Aiyebo F.C.S. Ltd,,Cooperative Society,Aiyebo F.C.S. Ltd_temp,,Baringo,,,,,Aiyebo,,
2,Isaas Multi-Purpose Co-Op. Soc. Ltd,,Cooperative Society,XCD24,XCD024,Baringo,,,,,Isaas,,
3,Kabartonjo F.C.S. Ltd,,Cooperative Society,XCD17,XCD017,Baringo,0.63333,35.8,,,Kabartonjo,,
4,Kapkawa Seretunin F.C.S. Ltd,,Cooperative Society,XCD13,XCD013,Baringo,,,,,Kapkawa Seretunin,,
5,Kasok Multi-Purpose F.C.S. Ltd,,Cooperative Society,XCD22,XCD022,Baringo,,,,,Kasok,,
6,Kilingot F.C.S. Ltd,,Cooperative Society,XCD14,XCD014,Baringo,,,,,Kilingot,,
7,Kituro F.C.S. Ltd,,Cooperative Society,XCD07,XCD007,Baringo,0.466667,"	35.799999",,,Kituro,,
8,Kurget F.C.S. Ltd,,Cooperative Society,XCD15,XCD015,Baringo,,,,,Kurget,,
9,Moiget F.C.S. Ltd,,Cooperative Society,XCD08,XCD008,Baringo,,,,,Moiget,,
10,Mosop Bidii F.C.S. Ltd,,Cooperative Society,Mosop Bidii F.C.S. Ltd_temp,,Baringo,,,,,Mosop Bidii,,
11,Ngetmoi Multi-Purpose F.C.S. Ltd,,Cooperative Society,XCD19,XCD019,Baringo,,,,,Ngetmoi,,
12,Poi F. Co-Op. Soc. Ltd,,Cooperative Society,XCD21,XCD021,Baringo,"	0.737673",35.808952,,,Poi,,
13,Talai F.C.S. Ltd,,Cooperative Society,XCD12,XCD012,Baringo,0.58522,35.8122,,,Talai,,
14,Tenges F.C.S. Ltd,,Cooperative Society,XCD10,XCD010,Baringo,0.31667,35.8,,,Tenges,,
15,Tieson C.F.C. Soc. Ltd,,Cooperative Society,XCD16,XCD016,Baringo,,,,,Tieson,,
16,Tiriodonin F.C.S. Ltd,,Cooperative Society,Tiriodonin F.C.S. Ltd,,Baringo,,,,,Tiriodonin,,
17,Tugen Hills F.C.S. Ltd,,Cooperative Society,XCD01,XCD001,Baringo,,,,,Tugen Hills,,
18,Chebich F.C.S. Ltd,,Cooperative Society,XDA33,XDA033,Bungoma,,,,,Chebich,,
19,Chenjeni F.C.S Ltd,,Cooperative Society,XDA38,XDA038,Bungoma,,,,,Chenjeni,,
20,Chepkube F.C.S. Ltd,,Cooperative Society,XDA04,XDA004,Bungoma,0.85,34.43333,,,Chepkube,,
21,Cheptais F.C.S. Ltd,,Cooperative Society,XDA22,XDA022,Bungoma,,,,,Cheptais,,
22,Chesikaki F.C.S. Ltd,,Cooperative Society,XDA02,XDA002,Bungoma,,,,,Chesikaki,,
23,Chwele F.C.S. Ltd,,Cooperative Society,XDA01,XDA001,Bungoma,0.75,34.6,,,Chwele,,
24,Kamusinde F.C.S. Ltd,,Cooperative Society,XDA08,XDA008,Bungoma,,,,,Kamusinde,,
25,Kapkurungo F.C.S. Ltd,,Cooperative Society,XDA19,XDA019,Bungoma,,,,,Kapkurungo,,
26,Kapsakisio F.C.S. Ltd,,Cooperative Society,XDA18,XDA018,Bungoma,,,,,Kapsakisio,,
27,Kaptola F.C.S. Ltd,,Cooperative Society,XDA24,XDA024,Bungoma,,,,,Kaptola,,
28,Khachonge F.C.S. Ltd,,Cooperative Society,XDA10,XDA010,Bungoma,0.683894,"	34.629402",,,Khachonge,,
29,Khalaba F.C.S. Ltd,,Cooperative Society,XDA11,XDA011,Bungoma,0.69533,34.57129,,,Khalaba,,
30,Khamulati F.C.S. Ltd,,Cooperative Society,XDA07,XDA007,Bungoma,,,,,Khamulati,,
31,Kibingei F.C.S. Ltd,,Cooperative Society,XDA06,XDA006,Bungoma,0.78333,34.66667,,,Kibingei,,
32,Kibisi F.C.S. Ltd,,Cooperative Society,XDA03,XDA003,Bungoma,0.72665,34.65852,,,Kibisi,,
33,Kikai F.C.S. Ltd,,Cooperative Society,XDA23,XDA023,Bungoma,,,,,Kikai,,
34,Kituni F.C.S. Ltd,,Cooperative Society,XDA35,XDA035,Bungoma,0.63333,34.75,,,Kituni,,
35,Lukholele Robusta C.G.S. Ltd,,Cooperative Society,XDA31,XDA031,Bungoma,,,,,Lukholele Robusta,,
36,Lukusi F.C.S. Ltd,,Cooperative Society,XDA09,XDA009,Bungoma,0.65,34.81667,,,Lukusi,,
37,Makhanga F.C.S. Ltd,,Cooperative Society,XDA28,XDA028,Bungoma,,,,,Makhanga,,
38,Mayekwe F.C.S. Ltd,,Cooperative Society,XDA20,XDA020,Bungoma,0.800000,34.416668,,,Mayekwe,,
39,Menu F.C.S. Ltd,,Cooperative Society,XDA13,XDA013,Bungoma,,,,,Menu,,
40,Misikhu F.C.S. Ltd,,Cooperative Society,XDA37,XDA037,Bungoma,0.7,34.71667,,,Misikhu,,
41,Nakoyonjo F.C.S. Ltd,,Cooperative Society,XDA14,XDA014,Bungoma,,,,,Nakoyonjo,,
42,Namangofulo F.C.S. Ltd,,Cooperative Society,XDA05,XDA005,Bungoma,0.767778,34.473888,,,Namangofulo,,
43,Sasuri F.C.S. Ltd,,Cooperative Society,XDA29,XDA029,Bungoma,0.81667,34.48333,,,Sasuri,,
44,Sibumba F.C.S. Ltd,,Cooperative Society,XDA21,XDA021,Bungoma,,,,,Sibumba,,
45,Sirisia F.C.S. Ltd,,Cooperative Society,XDA25,XDA025,Bungoma,0.68007,34.72302,,,Sirisia,,
