county_name,id,created,updated,title,slug,active,affiliation_name,producer_name,actor,lat,lon,notes,disambiguation
Baringo,,,,Aiyebo F.C.S. Ltd_temp,aiyebo_fcs_ltd,,,Aiyebo F.C.S. Ltd,Cooperative Society,,,,
Baringo,,,,CM.0001,tandui,,,Tandui,Estate Producers,,,,
Baringo,,,,CM.0002,sokto,,,Sokto,Small Estates,,,,
Baringo,,,,CM.0003,moigutwo_f_company_ltd,,Moigutwo F. Co. Ltd,Moigutwo F. Company Ltd,Estate Producers,,,,
Baringo,,,,CM.0023,tuitok,,,Tuitok,Small Estates,,,,
Baringo,,,,CM.0024,soiyo,,,Soiyo,Small Estates,,,,
Baringo,,,,CM.0028,kasito_estate,,,Kasito Estate,Small Estates,,,,
Baringo,,,,CM.0031,kibano,,,Kibano,Small Estates,,,,
Baringo,,,,Mosop Bidii F.C.S. Ltd_temp,mosop_bidii_fcs_ltd,,,Mosop Bidii F.C.S. Ltd,Cooperative Society,,,,
Baringo,,,,Tiriodonin F.C.S. Ltd,tiriodonin_fcs_ltd,,,Tiriodonin F.C.S. Ltd,Cooperative Society,,,,
Baringo,,,,XCD01,tugen_hills_fcs_ltd,,,Tugen Hills F.C.S. Ltd,Cooperative Society,,,,
Baringo,,,,XCD01F01,tugen_hills_factory,,,Tugen Hills Factory,Factory,,,,
Baringo,,,,XCD05F01,kocholwo,,,Kocholwo,Factory,,,,
Baringo,,,,XCD07,kituro_fcs_ltd,,,Kituro F.C.S. Ltd,Cooperative Society,0.466667,"	35.799999",,
Baringo,,,,XCD08,moiget_fcs_ltd,,,Moiget F.C.S. Ltd,Cooperative Society,,,,
Baringo,,,,XCD09,aiyebo,,,Aiyebo,Cooperative Society,,,,
Baringo,,,,XCD10,tenges_fcs_ltd,,,Tenges F.C.S. Ltd,Cooperative Society,0.31667,35.8,,
Baringo,,,,XCD10F01,tenges_factory,,,Tenges Factory,Factory,,,,
Baringo,,,,XCD11F01,sirwa,,,Sirwa,Factory,,,,
Baringo,,,,XCD12,talai_fcs_ltd,,,Talai F.C.S. Ltd,Cooperative Society,0.58522,35.8122,,
Baringo,,,,XCD13,kapkawa_seretunin_fcs_ltd,,,Kapkawa Seretunin F.C.S. Ltd,Cooperative Society,,,,
Baringo,,,,XCD13F01,kapkawa_seretunin_factory,,,Kapkawa Seretunin Factory,Factory,,,,
Baringo,,,,XCD14,kilingot_fcs_ltd,,,Kilingot F.C.S. Ltd,Cooperative Society,,,,
Baringo,,,,XCD14F01,kilingot_factory,,,Kilingot Factory,Factory,,,,
Baringo,,,,XCD15,kurget_fcs_ltd,,,Kurget F.C.S. Ltd,Cooperative Society,,,,
Baringo,,,,XCD15F01,kurget_factory,,,Kurget Factory,Factory,,,,
Baringo,,,,XCD16,tieson_cfc_soc_ltd,,,Tieson C.F.C. Soc. Ltd,Cooperative Society,,,,
Baringo,,,,XCD16F01,tieson_factory,,,Tieson Factory,Factory,,,,
Baringo,,,,XCD17,kabartonjo_fcs_ltd,,,Kabartonjo F.C.S. Ltd,Cooperative Society,0.63333,35.8,,
Baringo,,,,XCD19,ngetmoi_multipurpose_fcs_ltd,,,Ngetmoi Multi-Purpose F.C.S. Ltd,Cooperative Society,,,,
Baringo,,,,XCD21,poi_f_coop_soc_ltd,,,Poi F. Co-Op. Soc. Ltd,Cooperative Society,"	0.737673",35.808952,,
Baringo,,,,XCD22,kasok_multipurpose_fcs_ltd,,,Kasok Multi-Purpose F.C.S. Ltd,Cooperative Society,,,,
Baringo,,,,XCD24,isaas_multipurpose_coop_soc_ltd,,,Isaas Multi-Purpose Co-Op. Soc. Ltd,Cooperative Society,,,,
Bungoma,,,,XDA01,chwele_fcs_ltd,,,Chwele F.C.S. Ltd,Cooperative Society,0.75,34.6,,
Bungoma,,,,XDA01F01,chwele_factory,,,Chwele Factory,Factory,,,,
Bungoma,,,,XDA01F02,sichei_factory_chwele_fcs_ltd,,,Sichei Factory (Chwele F.C.S. Ltd),Factory,,,,
Bungoma,,,,XDA02,chesikaki_fcs_ltd,,,Chesikaki F.C.S. Ltd,Cooperative Society,,,,
Bungoma,,,,XDA02F01,kimabole1,,,Kimabole,Factory,,,This should probably be XDA42F01,XDA42
Bungoma,,,,XDA02F02,new_chesikaki,,,New Chesikaki,Factory,,,,
Bungoma,,,,XDA03,kibisi_fcs_ltd,,,Kibisi F.C.S. Ltd,Cooperative Society,0.72665,34.65852,,
Bungoma,,,,XDA03F01,kibisi_factory,,,Kibisi Factory,Factory,,,,
Bungoma,,,,XDA04,chepkube_fcs_ltd,,,Chepkube F.C.S. Ltd,Cooperative Society,0.85,34.43333,,
Bungoma,,,,XDA04F01,chepkube_factory,,,Chepkube Factory,Factory,,,,
Bungoma,,,,XDA05,namangofulo_fcs_ltd,,,Namangofulo F.C.S. Ltd,Cooperative Society,0.767778,34.473888,,
Bungoma,,,,XDA05F01,namangofulo_factory,,,Namangofulo Factory,Factory,,,,
Bungoma,,,,XDA06,kibingei_fcs_ltd,,,Kibingei F.C.S. Ltd,Cooperative Society,0.78333,34.66667,,
Bungoma,,,,XDA06F01,kibingei,,,Kibingei,Factory,,,,
Bungoma,,,,XDA07,khamulati_fcs_ltd,,,Khamulati F.C.S. Ltd,Cooperative Society,,,,
Bungoma,,,,XDA07F01,khamulati_factory,,,Khamulati Factory,Factory,,,,
Bungoma,,,,XDA08,kamusinde_fcs_ltd,,,Kamusinde F.C.S. Ltd,Cooperative Society,,,,
Bungoma,,,,XDA08F01,kamusinde_factory,,,Kamusinde Factory,Factory,,,,
Bungoma,,,,XDA09,lukusi_fcs_ltd,,,Lukusi F.C.S. Ltd,Cooperative Society,0.65,34.81667,,
Bungoma,,,,XDA09F01,lukusi_factory,,,Lukusi Factory,Factory,,,,
Bungoma,,,,XDA10,khachonge_fcs_ltd,,,Khachonge F.C.S. Ltd,Cooperative Society,0.683894,"	34.629402",,
Bungoma,,,,XDA10F01,khachonge_factory,,,Khachonge Factory,Factory,,,,
Bungoma,,,,XDA11,khalaba_fcs_ltd,,,Khalaba F.C.S. Ltd,Cooperative Society,0.69533,34.57129,,
