TRANSNR;LOTNT;MARKS;MARKS2;REF;REF2;BAGMARK;GRADE-GR;BAGSNR;WEIGHT-Kgr;SALENO;BAGSBOUGHTNR;WEIGHTBOUGHT-Kgr;BUYERCODE;PRICE;SEATNR;AUCTCODE;STATUS;ISODATE;SEASON;VALUE
1;2701;42MU0008/KUIRI/XBB072F02;42MU0008/KUIRI/XBB072F02/;XBB072F02;XBB072F02;42MU0008;C;12;743;30;12;743;78;171;78;25;2;05-Sep-17;2016-2017;2541.06
2;2702;43MU0020/NTONGORO-FCS/XBB0042F01;43MU0020/NTONGORO-FCS/XBB0042F01/;XBB0042F01;XBB0042F01;43MU0020;C;23;1402;30;23;1402;78;193;78;25;2;05-Sep-17;2016-2017;5411.72
3;2703;44MU0001/NDULUMA/XBA038F01;44MU0001/NDULUMA/XBA038F01/;XBA038F01;XBA038F01;44MU0001;C;34;2087;30;34;2087;39;180;39;25;2;05-Sep-17;2016-2017;7513.2
4;2704;44MU0006/MBARANGA/XBA038;44MU0006/MBARANGA/XBA038/;XBA038;XBA038;44MU0006;C;40;2458;30;40;2458;78;150;78;25;2;05-Sep-17;2016-2017;7374
5;2705;44MU0017/KALITHIRIA FCS/XBA033;44MU0017/KALITHIRIAFCS/XBA033/;XBA033;XBA033;44MU0017;C;27;1676;30;27;1676;47;174;47;25;2;05-Sep-17;2016-2017;5832.48
6;2706;46MU0041/MBARANGA/XBA038;46MU0041/MBARANGA/XBA038/;XBA038;XBA038;46MU0041;C;21;1299;30;21;1299;78;160;78;25;2;05-Sep-17;2016-2017;4156.8
7;2707;46MU1004/PARCHMENT BULK/PBULK;46MU1004/PARCHMENTBULK/PBULK/;PBULK;PBULK;46MU1004;C;50;3055;30;50;3055;238;207;57;25;2;05-Sep-17;2016-2017;12647.7
8;2708;43MU0011/GATURINE/XBB070F02;43MU0011/GATURINE/XBB070F02/;XBB070F02;XBB070F02;43MU0011;C;8;491;30;8;491;47;242;47;25;2;05-Sep-17;2016-2017;2376.44
9;2709;43MU0033/NKUMARI/XBB069F02;43MU0033/NKUMARI/XBB069F02/;XBB069F02;XBB069F02;43MU0033;C;14;840;30;14;840;209;161;7;25;2;05-Sep-17;2016-2017;2704.8
10;2710;44MU0004/ITHIMA/XBB005F03;44MU0004/ITHIMA/XBB005F03/;XBB005F03;XBB005F03;44MU0004;C;39;2363;30;39;2363;39;242;39;25;2;05-Sep-17;2016-2017;11436.92
